nombre	distrito	bloque	vota
AGOSTO, Walter	Santa Fe	Peronismo Federal	AFIRMATIVO
AGUAD, Oscar Raúl	Córdoba	Unión Cívica Radical	AFIRMATIVO
ALCUAZ, Horacio Alberto	Buenos Aires	GEN	AFIRMATIVO
ALFONSIN, Ricardo Luis	Buenos Aires	Unión Cívica Radical	AFIRMATIVO
ALONSO, Gumersindo Federico	Córdoba	Frente Cívico - Córdoba	AFIRMATIVO
ALVAREZ, Elsa María	Santa Cruz	Unión Cívica Radical	AFIRMATIVO
ALVAREZ, Jorge Mario	Santa Fe	Unión Cívica Radical	AFIRMATIVO
AMADEO, Eduardo Pablo	Buenos Aires	Peronismo Federal	AFIRMATIVO
ARBO, José Ameghino	Corrientes	Liberal de Corrientes	AFIRMATIVO
ARENA, Celia Isabel	Santa Fe	Peronismo Federal	AFIRMATIVO
ARGUMEDO, Alcira Susana	Cdad.Aut.Bs.As.	Movimiento Proyecto Sur	AFIRMATIVO
ASEF, Daniel Edgardo	Córdoba	Peronista Córdoba Ciudadana	AFIRMATIVO
ASPIAZU, Lucio Bernardo	Corrientes	Unión Cívica Radical	AFIRMATIVO
ATANASOF, Alfredo Néstor	Buenos Aires	Peronismo Federal	AFIRMATIVO
BALDATA, Griselda Angela	Córdoba	Coalición Cívica	AFIRMATIVO
BARBIERI, Mario Leandro	Buenos Aires	Unión Cívica Radical	AFIRMATIVO
BARRIOS, Miguel Angel	Santa Fe	Partido Socialista	AFIRMATIVO
BASTEIRO, Sergio Ariel	Buenos Aires	Nuevo Encuentro Popular y Solidario	AFIRMATIVO
BELOUS, Nélida	Tierra del Fuego	Proyecto Progresista	AFIRMATIVO
BENAS, Verónica Claudia	Santa Fe	SI por la Unidad Popular	AFIRMATIVO
BENEDETTI, Atilio Francisco Salvador	Entre Ríos	Unión Cívica Radical	AFIRMATIVO
BERTOL, Paula María	Cdad.Aut.Bs.As.	Propuesta Republicana	AFIRMATIVO
BIANCHI, Ivana María	San Luis	Peronismo Federal	AFIRMATIVO
BONASSO, Miguel	Cdad.Aut.Bs.As.	Diálogo por Buenos Aires	AFIRMATIVO
BULLRICH, Patricia	Cdad.Aut.Bs.As.	Coalición Cívica	AFIRMATIVO
BURYAILE, Ricardo	Formosa	Unión Cívica Radical	AFIRMATIVO
CARCA, Elisa Beatriz	Buenos Aires	Coalición Cívica	AFIRMATIVO
CARDELLI, Jorge Justo	Cdad.Aut.Bs.As.	Movimiento Proyecto Sur	AFIRMATIVO
CARRANZA, Carlos Alberto	Santa Fe	Peronismo Federal	AFIRMATIVO
CARRIO, Elisa María	Cdad.Aut.Bs.As.	Coalición Cívica	AFIRMATIVO
CASAÑAS, Juan Francisco	Tucumán	Unión Cívica Radical	AFIRMATIVO
CASTALDO, Norah Susana	Tucumán	Unión Cívica Radical	AFIRMATIVO
CASTAÑON, Hugo	Rio Negro	Unión Cívica Radical	AFIRMATIVO
CHEMES, Jorge Omar	Entre Ríos	Unión Cívica Radical	AFIRMATIVO
CICILIANI, Alicia Mabel	Santa Fe	Partido Socialista	AFIRMATIVO
COMELLI, Alicia Marcela	Neuquén	Movimiento Popular Neuquino	AFIRMATIVO
COMI, Carlos Marcelo	Santa Fe	Coalición Cívica	AFIRMATIVO
CORTINA, Roy	Cdad.Aut.Bs.As.	Partido Socialista	AFIRMATIVO
COSTA, Eduardo Raúl	Santa Cruz	Unión Cívica Radical	AFIRMATIVO
CUCCOVILLO, Ricardo Oscar	Buenos Aires	Partido Socialista	AFIRMATIVO
CURRILEN, Oscar Rubén	Chubut	Peronista	AFIRMATIVO
CUSINATO, José César Gustavo	Entre Ríos	Unión Cívica Radical	AFIRMATIVO
DAHER, Zulema Beatríz	Salta	Peronismo Federal	AFIRMATIVO
DE NARVAEZ, Francisco	Buenos Aires	Peronismo Federal	AFIRMATIVO
de PRAT GAY, Alfonso	Cdad.Aut.Bs.As.	Coalición Cívica	AFIRMATIVO
DONDA PEREZ, Victoria Analía	Buenos Aires	Libres del Sur	AFIRMATIVO
ERRO, Norberto Pedro	Buenos Aires	Unión Cívica Radical	AFIRMATIVO
ESPINDOLA, Gladys Susana	Córdoba	Unión Cívica Radical	AFIRMATIVO
FADUL, Liliana	Tierra del Fuego	Partido Federal Fueguino	AFIRMATIVO
FAUSTINELLI, Hipólito	Córdoba	Unión Cívica Radical	AFIRMATIVO
FAVARIO, Carlos Alberto	Santa Fe	Demócrata Progresista	AFIRMATIVO
FEIN, Mónica Hayde	Santa Fe	Partido Socialista	AFIRMATIVO
FERNANDEZ, Rodolfo Alfredo	Corrientes	Unión Cívica Radical	AFIRMATIVO
FERRARI, Gustavo Alfredo	Buenos Aires	Peronismo Federal	AFIRMATIVO
FIAD, Mario Raymundo	Jujuy	Unión Cívica Radical	AFIRMATIVO
FLORES, Héctor	Buenos Aires	Coalición Cívica	AFIRMATIVO
FORCONI, Juan Carlos	Santa Fe	Peronismo Federal	AFIRMATIVO
FORTE, Ulises Umberto	La Pampa	Unión Cívica Radical	AFIRMATIVO
FORTUNA, Francisco José	Córdoba	Córdoba Federal	AFIRMATIVO
GAMBARO, Natalia	Buenos Aires	Peronismo Federal	AFIRMATIVO
GARCIA, Irma Adriana	La Pampa	Peronismo Federal	AFIRMATIVO
GARCIA, Susana Rosa	Santa Fe	Coalición Cívica	AFIRMATIVO
