id_bloque,bloque,color
1,Afirmación para una República Igualitaria,#01dfa5
2,Coalición Cívica,#2ca02c
3,Concertación Plural,
4,Cruzada Renovadora,
5,Encuentro de los Rionegrinos,
6,Esperanza Federal,
7,Federalismo Santafesino,
8,Federalismo y Liberación,
9,Frente Cívico de Córdoba,
10,Frente Cívico Jujeño,
11,Frente Cívico por Santiago,#4b088a
12,Frente Cívico y Social de Catamarca,
13,Frente de Todos,
14,Frente Grande,
15,FrePaSo,
16,Fuerza Republicana,
17,GEN,
18,Justicialista,#1f77b4
19,Justicialista 8 de Octubre,
20,Justicialista La Pampa,
21,Justicialista para el Dialogo de Los Argentinos,
22,Justicialista San Luis,#0b615e
23,Justicialista-Frente para la Victoria,#1f77b4
24,Liberal de Corrientes,
25,Movimiento Popular Neuquino,
26,No integra Bloque,
27,Nuevo Encuentro,
28,Partido Nuevo,
29,Por Tierra del Fuego,
30,Producción y Trabajo,
31,Proyecto Buenos Aires Federal,
32,Radical Independiente,
33,Radical Rionegrino,
34,Renovador de la Concordia,
35,Renovador de Salta,
36,Santa Fe Federal,
37,Socialista,#fa58f4
38,Trabajo y Dignidad,
39,Unión Cívica Radical,#d62728
40,Vecinalista - Partido Nuevo,
41,Lealtad y Dignidad Justicialista,#0b615e
42,Tucumán,
43,Partido de la Victoria,
44,Puntano Independiente,
45,Justicialista 17 de Octubre,
46,Justicialismo por el Cambio,
47,Frente Popular,
48,Frente Progresista-CC-ARI,
49,Movimiento Popular Fueguino,
50,Pro y Unión por Entre Ríos ,#e7ba52
51,Proyecto Sur-UNEN,
98,Partido Liberal,
