asuntoId,diputadoId,bloqueId,voto
992,19,67,0
992,20,172,3
992,21,103,1
992,22,153,3
992,23,172,3
992,26,67,0
992,29,24,3
992,31,63,3
992,33,19,3
992,37,67,0
992,48,171,3
992,50,33,0
992,52,27,3
992,58,120,3
992,59,122,3
992,62,59,3
992,64,67,0
992,70,173,3
992,76,123,0
992,79,172,3
992,83,67,0
992,86,19,3
992,92,172,3
992,100,106,3
992,101,123,0
992,102,63,3
992,104,47,0
992,108,172,3
992,112,67,0
992,114,140,0
992,115,158,0
992,119,67,0
992,120,67,0
992,121,138,3
992,123,67,0
992,126,172,3
992,127,67,0
992,128,63,3
992,130,67,0
992,131,67,0
992,136,158,0
992,141,40,2
992,154,103,1
992,161,54,0
992,164,138,3
992,165,19,3
992,168,138,3
992,177,67,0
992,179,67,0
992,180,106,3
992,182,67,3
992,184,67,0
992,187,67,0
992,195,19,3
992,198,67,0
992,200,67,0
992,210,66,0
992,213,172,3
992,223,67,0
992,226,67,0
992,232,67,0
992,236,67,0
992,242,58,3
992,247,103,1
992,251,67,0
992,254,67,0
992,255,67,0
992,260,123,0
992,267,126,3
992,268,123,0
992,269,33,0
992,272,172,3
992,276,173,3
992,278,153,3
992,280,67,0
992,282,67,0
992,291,67,0
992,292,37,3
992,294,171,3
992,299,172,3
992,303,122,0
992,305,67,0
992,311,67,0
992,312,67,0
992,315,67,0
992,316,67,0
992,317,149,3
992,320,47,0
992,322,67,0
992,333,16,3
992,342,172,3
992,343,67,0
992,351,123,0
992,356,67,0
992,364,67,0
992,368,67,0
992,377,19,3
992,381,67,0
992,383,19,3
992,400,67,0
992,405,138,3
992,408,67,0
992,411,158,0
992,416,173,3
992,417,67,0
992,418,19,3
992,419,171,3
992,430,67,0
992,432,123,0
992,437,67,0
992,439,19,3
992,443,74,3
992,444,67,0
992,446,172,3
992,447,172,3
992,452,67,0
992,461,67,0
992,462,158,0
992,463,67,0
992,468,140,0
992,472,138,3
992,476,172,3
992,478,67,0
992,481,67,0
992,488,173,3
992,491,126,3
992,495,67,0
992,496,67,0
992,497,54,0
992,500,181,3
992,504,47,0
992,505,19,3
992,507,67,0
992,513,67,0
992,517,67,3
992,532,41,0
992,533,24,3
992,534,172,3
992,537,67,0
992,539,172,3
992,541,67,0
992,546,172,3
992,547,67,0
992,554,171,3
992,556,67,0
992,558,172,3
992,559,67,0
992,562,67,0
992,566,19,3
992,572,67,0
992,574,67,0
992,577,134,3
992,579,67,0
992,583,67,0
992,584,100,0
992,586,67,0
992,591,14,0
992,595,54,0
992,596,63,3
992,599,158,0
992,614,67,0
992,618,75,3
992,620,127,0
992,621,123,0
992,625,23,3
992,628,172,3
992,657,47,0
992,660,63,3
992,673,67,0
992,681,24,3
992,684,173,3
992,686,19,3
992,687,96,3
992,688,67,0
992,692,67,0
992,694,67,0
992,695,113,0
992,696,172,3
992,703,67,0
992,705,158,0
992,719,153,3
992,720,138,3
992,723,54,0
992,735,67,0
992,739,67,0
992,746,67,0
992,749,58,3
992,753,67,0
992,756,9,3
992,757,54,0
992,763,19,3
992,764,67,0
992,769,54,0
992,771,19,3
992,774,67,0
992,775,67,0
992,780,126,3
992,792,138,3
992,796,67,0
992,800,172,3
992,801,67,0
992,804,33,0
992,809,67,0
992,813,19,3
992,814,158,0
992,819,67,0
992,823,67,0
992,825,19,3
992,829,67,0
992,831,172,3
992,839,47,0
992,847,67,0
992,849,19,3
992,853,67,0
992,854,59,3
992,856,67,0
992,866,67,0
992,867,67,0
992,869,173,3
992,878,67,3
992,884,67,0
992,886,67,0
992,889,19,3
992,891,67,0
992,896,67,0
992,899,173,3
992,901,138,3
992,904,24,3
992,911,67,0
992,915,67,0
992,920,33,0
992,921,123,1
992,923,67,0
992,924,67,0
992,929,67,0
992,935,67,0
992,936,85,0
992,943,172,3
992,947,67,0
992,955,173,3
992,963,125,3
992,966,149,0
992,972,63,3
992,981,172,3
992,983,67,0
992,991,67,0
992,992,172,3
992,994,113,0
992,998,19,3
992,999,88,3
992,1002,123,0
992,1004,67,0
992,1009,133,3
992,1016,67,0
992,1027,123,0
992,1029,126,3
1056,19,67,0
1056,20,172,1
1056,21,103,0
1056,22,153,1
1056,23,172,1
1056,26,67,0
1056,29,24,1
1056,31,63,1
1056,33,8,1
1056,37,67,0
1056,48,171,1
1056,50,33,0
1056,52,27,3
1056,58,120,1
1056,59,122,1
1056,62,59,0
1056,64,67,0
1056,70,173,1
1056,76,123,1
1056,79,172,1
