ley,fecha,asuntoD,asuntoS,url,nombre,sumario
ley-26843,2013-02-28,1300,1812,http://servicios.infoleg.gob.ar/infolegInternet/anexos/205000-209999/208948/norma.htm,Memorándum de entendimiento con Irán,APRUEBASE EL “MEMORANDUM DE ENTENDIMIENTO ENTRE EL GOBIERNO DE LA REPUBLICA ARGENTINA Y EL GOBIERNO DE LA REPUBLICA ISLAMICA DE IRAN SOBRE LOS TEMAS VINCULADOS AL ATAQUE TERRORISTA A LA SEDE DE LA AMIA EN BUENOS AIRES EL 18 DE JULIO DE 1994”
ley-26861,2013-04-17,1306,1834,http://servicios.infoleg.gob.ar/infolegInternet/anexos/215000-219999/215799/norma.htm,Ingreso Democrático e Igualitario de Personal al Poder Judicial,INGRESO DEMOCRATICO E IGUALITARIO DE PERSONAL AL PODER JUDICIAL DE LA NACION Y AL MINISTERIO PUBLICO DE LA NACION.
ley-26860,2013-05-29,1345,1837,http://servicios.infoleg.gob.ar/infolegInternet/anexos/215000-219999/215797/norma.htm,Blanqueo de capitales,"AUTORIZASE AL MINISTERIO DE ECONOMIA Y FINANZAS PUBLICAS A EMITIR EL “BONO ARGENTINO DE AHORRO PARA EL DESARROLLO ECONOMICO (BAADE)”, REGISTRABLE O AL PORTADOR, Y EL “PAGARE DE AHORRO PARA EL DESARROLLO ECONOMICO”. AMBOS INSTRUMENTOS ESTARAN DENOMINADOS EN DOLARES ESTADOUNIDENSES Y TENDRAN LAS DEMAS CONDICIONES FINANCIERAS QUE SE DETERMINEN AL MOMENTO DE SU EMISION. LOS FONDOS ORIGINADOS EN LA EMISION A EFECTUARSE SERAN DESTINADOS, EXCLUSIVAMENTE, A LA FINANCIACION DE PROYECTOS DE INVERSION PUBLICA EN SECTORES ESTRATEGICOS, COMO INFRAESTRUCTURA E HIDROCARBUROS."
ley-26894,2013-09-26,1383,1842,http://servicios.infoleg.gob.ar/infolegInternet/anexos/220000-224999/221176/norma.htm,Prórroga a la suspensión de desalojos en tierras indígenas,"PRORROGANSE LOS PLAZOS ESTABLECIDOS EN LOS ARTICULOS 1°, 2° Y 3° DE LA LEY 26.160, PRORROGADOS POR LEY 26.554, HASTA EL 23 DE NOVIEMBRE DE 2017."
ley-26984,2014-09-11,1440,1990,http://servicios.infoleg.gob.ar/infolegInternet/anexos/230000-234999/234982/norma.htm,Reestructuración de la Deuda Soberana (reapertura del canje de deuda pública en default),"EN EJERCICIO DEL PODER SOBERANO DE LA REPUBLICA ARGENTINA, DECLARASE DE INTERES PUBLICO LA REESTRUCTURACION DE LA DEUDA SOBERANA REALIZADA EN LOS AÑOS 2005 Y 2010, ASI COMO EL PAGO EN CONDICIONES JUSTAS, EQUITATIVAS, LEGALES Y SUSTENTABLES AL CIEN POR CIENTO DE LOS TENEDORES DE TITULOS PUBLICOS DE LA REPUBLICA ARGENTINA; Y, POR CONSIGUIENTE, LA APLICACION DE LOS CONTRATOS CELEBRADOS EN EL MARCO DE LAS REESTRUCTURACIONES DISPUESTAS POR LOS DECRETOS 1735/04 Y 563/10, A LOS FINES DE PRESERVAR EL COBRO POR PARTE DE LOS BONISTAS INTERESADOS."
ley-26991,2014-09-18,1444,1989,http://servicios.infoleg.gob.ar/infolegInternet/anexos/235000-239999/235279/norma.htm,Modificación de la Ley de Abastecimiento,MODIFICACION DE LA LEY 20.680. NUEVA REGULACION DE LAS RELACIONES DE PRODUCCION Y CONSUMO.
ley-26994,2014-10-01,1447,1931,http://servicios.infoleg.gob.ar/infolegInternet/anexos/235000-239999/235975/norma.htm,Nuevo Código Civil y Comercial,"APRUEBASE EL CODIGO CIVIL Y COMERCIAL DE LA NACION. DEROGANSE LEYES VARIAS, EL CODIGO CIVIL, APROBADO POR LA LEY 340, Y EL CODIGO DE COMERCIO, APROBADO POR LAS LEYES NROS. 15 Y 2.637, EXCEPTO ALGUNOS ARTICULOS."
ley-26995,2014-10-22,1451,1971,http://servicios.infoleg.gob.ar/infolegInternet/anexos/235000-239999/238031/norma.htm,Estatización de la Universidad de las Madres de Plaza de Mayo,"CREASE EL INSTITUTO UNIVERSITARIO NACIONAL DE DERECHOS HUMANOS “MADRES DE PLAZA DE MAYO” COMO UNIDAD FUNCIONAL DEPENDIENTE DEL MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS, EL QUE TENDRA SU SEDE EN LA CIUDAD AUTONOMA DE BUENOS AIRES, Y SE CONSTITUIRA SOBRE LA BASE DE LA ACTUAL UNIVERSIDAD POPULAR “MADRES DE PLAZA DE MAYO”."
ley-27007,2014-10-30,1463,2000,http://servicios.infoleg.gob.ar/infolegInternet/anexos/235000-239999/237401/norma.htm,Ley de Hidrocarburos,MODIFICACIONES AL REGIMEN DE LA LEY DE HIDROCARBUROS. MODIFICACION DE LAS LEYES 17.319 Y 25.943.
proyecto-6943-D-2013,2014-11-13,1474,,http://hcdn.gov.ar/proyectos/proyecto.jsp?exp=6943-D-2013,Prohibición de avisos que fomenten la oferta sexual y la trata de personas ,"PROHIBIR EN CUALQUIER MEDIO DE COMUNICACION TODO AVISO, PUBLICACION, PUBLICIDAD Y MENSAJE QUE FOMENTE LA OFERTA SEXUAL Y LA TRATA DE PERSONAS CON FINES DE EXPLOTACION SEXUAL: REGIMEN."
