asuntoId,diputadoId,bloqueId,voto,federal
1,75,14,0,0101
1,89,18,0,0102
1,163,32,0,0103
1,35,15,0,0201
1,22,18,0,0202
1,121,18,0,0203
1,28,12,0,0301
1,34,12,0,0302
1,153,18,0,0303
1,166,18,0,0401
1,150,40,0,0402
1,65,18,3,0403
1,145,18,0,0501
1,156,39,0,0502
1,86,26,3,0503
1,26,18,0,0601
1,40,39,0,0602
1,106,39,0,0603
1,66,18,0,0701
1,73,18,0,0702
1,105,39,0,0703
1,9,18,0,0801
1,102,18,0,0802
1,162,39,0,0803
1,107,18,0,0901
1,130,18,0,0902
1,90,39,0,0903
1,5,10,0,1001
1,80,18,0,1002
1,119,39,0,1003
1,59,18,0,1101
1,98,18,0,1102
1,99,39,0,1103
1,108,18,0,1201
1,111,18,0,1202
1,174,18,0,1203
1,79,18,0,1301
1,131,18,0,1302
1,158,39,0,1303
1,127,18,0,1401
1,140,18,0,1402
1,95,39,0,1403
1,60,18,0,1501
1,155,25,0,1502
1,159,25,3,1503
1,136,18,0,1601
1,49,33,0,1602
1,77,39,0,1603
1,47,18,0,1701
1,92,18,0,1702
1,69,35,3,1703
1,7,4,0,1801
1,101,18,0,1802
1,100,18,3,1803
1,122,18,0,1901
1,124,18,0,1902
1,4,39,0,1903
1,52,18,0,2001
1,54,18,0,2002
1,139,39,0,2003
1,85,18,0,2101
1,143,18,0,2102
1,67,37,1,2103
1,29,18,0,2201
1,112,18,0,2202
1,176,39,0,2203
1,19,16,0,2301
1,138,16,0,2302
1,115,18,0,2303
1,25,18,0,2401
1,41,18,0,2402
1,27,39,0,2403
2,75,14,0,0101
2,89,18,0,0102
2,163,32,0,0103
2,35,15,0,0201
2,22,18,0,0202
2,121,18,0,0203
2,28,12,0,0301
2,34,12,0,0302
2,153,18,0,0303
2,166,18,0,0401
2,150,40,0,0402
2,65,18,3,0403
2,145,18,0,0501
2,156,39,0,0502
2,86,26,3,0503
2,26,18,0,0601
2,40,39,0,0602
2,106,39,0,0603
2,66,18,0,0701
2,73,18,0,0702
2,105,39,0,0703
2,9,18,0,0801
2,102,18,0,0802
2,162,39,0,0803
2,107,18,0,0901
2,130,18,0,0902
2,90,39,0,0903
2,5,10,0,1001
2,80,18,0,1002
2,119,39,0,1003
2,59,18,0,1101
2,98,18,0,1102
2,99,39,0,1103
2,108,18,0,1201
2,111,18,0,1202
2,174,18,0,1203
2,79,18,0,1301
2,131,18,0,1302
2,158,39,0,1303
2,127,18,0,1401
2,140,18,0,1402
2,95,39,0,1403
2,60,18,0,1501
2,155,25,0,1502
2,159,25,3,1503
2,136,18,0,1601
2,49,33,0,1602
2,77,39,0,1603
2,47,18,0,1701
2,92,18,0,1702
2,69,35,3,1703
2,7,4,0,1801
2,101,18,0,1802
2,100,18,3,1803
2,122,18,0,1901
2,124,18,0,1902
2,4,39,0,1903
2,52,18,0,2001
2,54,18,0,2002
2,139,39,0,2003
2,85,18,0,2101
2,143,18,0,2102
2,67,37,1,2103
2,29,18,0,2201
2,112,18,0,2202
2,176,39,0,2203
2,19,16,0,2301
2,138,16,0,2302
2,115,18,0,2303
2,25,18,0,2401
2,41,18,0,2402
2,27,39,0,2403
3,75,14,0,0101
3,89,18,0,0102
3,163,32,0,0103
3,35,15,0,0201
3,22,18,0,0202
3,121,18,0,0203
3,28,12,0,0301
3,34,12,0,0302
3,153,18,0,0303
3,166,18,0,0401
3,150,40,0,0402
3,65,18,3,0403
3,145,18,0,0501
3,156,39,0,0502
3,86,26,3,0503
3,26,18,0,0601
3,40,39,0,0602
3,106,39,0,0603
3,66,18,0,0701
3,73,18,0,0702
3,105,39,0,0703
3,9,18,0,0801
3,102,18,0,0802
3,162,39,0,0803
3,107,18,0,0901
3,130,18,0,0902
3,90,39,0,0903
3,5,10,0,1001
3,80,18,0,1002
3,119,39,0,1003
3,59,18,0,1101
3,98,18,0,1102
3,99,39,0,1103
3,108,18,0,1201
3,111,18,0,1202
3,174,18,0,1203
3,79,18,0,1301
3,131,18,0,1302
3,158,39,0,1303
3,127,18,0,1401
3,140,18,0,1402
3,95,39,0,1403
3,60,18,0,1501
3,155,25,3,1502
3,159,25,3,1503
3,136,18,0,1601
3,49,33,0,1602
3,77,39,0,1603
3,47,18,0,1701
3,92,18,0,1702
3,69,35,3,1703
3,7,4,0,1801
3,101,18,0,1802
3,100,18,3,1803
3,122,18,0,1901
3,124,18,0,1902
3,4,39,0,1903
3,52,18,0,2001
3,54,18,0,2002
3,139,39,0,2003
3,85,18,0,2101
3,143,18,0,2102
3,67,37,3,2103
3,29,18,0,2201
3,112,18,0,2202
3,176,39,0,2203
3,115,18,0,2301
3,19,16,1,2302
3,138,16,1,2303
3,25,18,0,2401
3,41,18,0,2402
3,27,39,0,2403
4,75,14,0,0101
4,89,18,0,0102
4,163,32,0,0103
4,35,15,0,0201
4,22,18,0,0202
4,121,18,0,0203
4,28,12,0,0301
4,34,12,0,0302
4,153,18,0,0303
4,166,18,0,0401
4,150,40,0,0402
4,65,18,3,0403
4,145,18,0,0501
4,156,39,0,0502
4,86,26,3,0503
4,26,18,0,0601
4,40,39,0,0602
4,106,39,0,0603
4,66,18,0,0701
4,105,39,0,0702
4,73,18,3,0703
4,9,18,0,0801
4,102,18,0,0802
4,162,39,0,0803
4,107,18,0,0901
4,130,18,0,0902
4,90,39,0,0903
4,5,10,0,1001
4,80,18,0,1002
4,119,39,0,1003
4,59,18,0,1101
4,98,18,0,1102
4,99,39,0,1103
4,108,18,0,1201
4,111,18,0,1202
4,174,18,0,1203
4,79,18,0,1301
4,131,18,0,1302
4,158,39,0,1303
4,127,18,0,1401
4,140,18,0,1402
4,95,39,0,1403
4,60,18,0,1501
4,155,25,3,1502
4,159,25,3,1503
4,136,18,0,1601
4,49,33,0,1602
4,77,39,0,1603
4,47,18,0,1701
4,92,18,0,1702
4,69,35,3,1703
4,7,4,0,1801
4,101,18,0,1802
4,100,18,3,1803
4,122,18,0,1901
4,124,18,0,1902
4,4,39,0,1903
4,52,18,0,2001
4,54,18,0,2002
4,139,39,0,2003
4,85,18,0,2101
4,143,18,0,2102
4,67,37,1,2103
4,29,18,0,2201
4,112,18,0,2202
4,176,39,0,2203
4,19,16,0,2301
4,138,16,0,2302
4,115,18,0,2303
4,25,18,0,2401
4,41,18,0,2402
4,27,39,0,2403
5,75,14,0,0101
5,89,18,0,0102
5,163,32,0,0103
5,35,15,0,0201
5,22,18,0,0202
5,121,18,0,0203
5,28,12,0,0301
5,34,12,0,0302
5,153,18,0,0303
5,166,18,0,0401
5,150,40,0,0402
5,65,18,3,0403
5,145,18,0,0501
5,156,39,0,0502
5,86,26,3,0503
5,26,18,0,0601
5,40,39,0,0602
5,106,39,0,0603
5,66,18,0,0701
5,73,18,0,0702
5,105,39,0,0703
5,9,18,0,0801
5,102,18,0,0802
5,162,39,0,0803
5,107,18,0,0901
