distrito,agrupacion,candidato,categoria
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"1 - Insaurralde, Martin",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"2 - Di Tullio, Juliana",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"3 - Magario, Veronica Maria",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"4 - Recalde, Hector Pedro",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"5 - Carlotto, Remo Gerardo",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"6 - Garcia, Maria Teresa",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"7 - Kunkel, Carlos Miguel",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"8 - Moreno, Carlos Julio",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"9 - Conti, Diana Beatriz",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"10 - Depetri, Edgardo Fernando",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"11 - Romero, Oscar Alberto",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"12 - Visconti, Isabel Beatriz",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"13 - Cigogna, Luis Francisco",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"14 - Raverta, Maria Fernanda",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"15 - Arrieta, Gustavo Hector",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"16 - Grana, Adrian Eduardo",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"17 - Arnaldi, Monica Susana",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"18 - Onorato, Gildo Ezequiel",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"19 - Rojas, Lucia Florentina",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"20 - Bolinaga, Daniel Nestor",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"21 - Vespertino Koenig, Marcelo Christian",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"22 - Balor, Ana Luz",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"23 - Torremare, Guillermo Francisco",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"24 - Martinelli, Luis Maria",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"25 - Solis, Silvia Cristina",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"26 - Ruete, Rodrigo Maria",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"27 - Revora, Santiago Eduardo",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"28 - Alonso, Alicia Monica",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"29 - Martinez, Miguel Angel",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"30 - Diego, Leandro Roberto",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"31 - Lampreabe, Florencia",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"32 - Pereyra, Pablo Javier",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"33 - Algañaraz, Maria Elena",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"34 - Garcia, Enrique",Diputados Nacionales
Buenos Aires,ALIANZA FRENTE PARA LA VICTORIA,"35 - Gutierrez, Omar David",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"1 - Pitrola, Nestor Antonio",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"2 - Bregman, Myriam Teresa",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"3 - Giordano, Juan Carlos",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"4 - Rapanelli, Daniel Mario",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"5 - Simioni, Luana",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"6 - Reynoso, Edgardo Ernesto",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"7 - Rodriguez, Juan Pablo",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"8 - Alfaro, Paula Anahi",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"9 - Ayala, Eduardo",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"10 - Garcia, Aurora Amelia",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"11 - Bustillo, Flavio Seguro",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"12 - Bou Abdo, Nelsa Josefa",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"13 - Hospital, Jorge Dario",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"14 - Urbanovich, David",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"15 - Havercohn, Laura Beatriz",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"16 - Perez, Carlos Alberto",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"17 - Vera Ibañez, Gabriela",Diputados Nacionales
Buenos Aires,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"18 - Suppa, Juan",Diputados Nacionales
