diputadoID,nombre,distrito,avatar,url_oficial,distrito,inicio,fin,partido
1,"#, Legislador a Designar",Buenos Aires,,,,,,
10,"ABDALA de MATARAZZO, Norma Amanda",Santiago del Estero,http://www4.hcdn.gob.ar/fotos/nabdaladem_medium.jpg,http://www.diputados.gob.ar/diputados/nabdaladem/,SANTIAGO DEL ESTERO,10/12/2009,9/12/2013,FRENTE CIVICO POR SANTIAGO
100,"BERNAL, María Eugenia",Jujuy,http://www4.hcdn.gob.ar/fotos/mbernal_medium.jpg,http://www.diputados.gob.ar/diputados/mbernal/,JUJUY,10/12/2009,9/12/2013,FRENTE PARA LA VICTORIA - PJ
101,"BERNAZZA, Claudia Alicia",Buenos Aires,,,,,,
102,"BERRAUTE, Ana",Santa Fe,,,,,,
103,"BERTOL, Paula María",Cdad.Aut.Bs.As.,http://www4.hcdn.gob.ar/fotos/pbertol_medium.jpg,http://www.diputados.gob.ar/diputados/pbertol/,CIUDAD de BUENOS AIRES,10/12/2009,9/12/2013,PRO
104,"BERTOLYOTTI, Delma Noemí",Entre Ríos,,,,,,
105,"BERTONE, Rosana Andrea",Tierra del Fuego,http://www4.hcdn.gob.ar/fotos/rbertone_medium.jpg,http://www.diputados.gob.ar/diputados/rbertone/,TIERRA DEL FUEGO,10/12/2009,9/12/2013,FRENTE PARA LA VICTORIA - PJ
106,"BEVERAGGI, Margarita Beatriz",Chaco,,,,,,
107,"BIANCHI SILVESTRE, Marcela",Buenos Aires,,,,,,
108,"BIANCHI, Ivana María",San Luis,http://www4.hcdn.gob.ar/fotos/mbianchi_medium.jpg,http://www.diputados.gob.ar/diputados/mbianchi/,CIUDAD de BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
109,"BIANCHI, María del Carmen",Cdad.Aut.Bs.As.,http://www4.hcdn.gob.ar/fotos/ibianchi_medium.jpg,http://www.diputados.gob.ar/diputados/ibianchi/,SAN LUIS,10/12/2011,9/12/2015,FRENTE PERONISTA
11,"ABDALA, Josefina",Mendoza,,,,,,
110,"BIANCO, Lía Fabiola",Misiones,,,,,,
111,"BIDEGAIN, Gloria Mercedes",Buenos Aires,http://www4.hcdn.gob.ar/fotos/gbidegain_medium.jpg,http://www.diputados.gob.ar/diputados/gbidegain/,BUENOS AIRES,10/12/2011,9/12/2015,FRENTE PARA LA VICTORIA - PJ
112,"BIELLA CALVET, Bernardo José",Salta,http://www4.hcdn.gob.ar/fotos/bbiellac_medium.jpg,http://www.diputados.gob.ar/diputados/bbiellac/,SALTA,10/12/2011,9/12/2015,UDESO SALTA
113,"BIELSA, Rafael",Cdad.Aut.Bs.As.,,,,,,
114,"BIGLIERI, María Emilia",Santa Fe,,,,,,
115,"BINNER, Hermes",Santa Fe,,,,,,
116,"BISUTTI, Delia Beatriz",Cdad.Aut.Bs.As.,,,,,,
117,"BLANCO de PERALTA, Blanca",Santa Cruz,http://www4.hcdn.gob.ar/fotos/bblanco_medium.jpg,http://www.diputados.gob.ar/diputados/bblanco/,SANTA CRUZ,10/12/2009,9/12/2013,FRENTE PARA LA VICTORIA - PJ
