diputadoID,nombre,distrito
1,"#, Legislador a Designar",Buenos Aires
2,"#, Legislador a Designar",Cdad.Aut.Bs.As.
3,"#, Legislador a Designar",Chubut
4,"#, Legislador a Designar",Córdoba
5,"#, Legislador a Designar",San Juan
6,"#, Legislador a Designar",Santa Cruz
7,"#, Legislador a Designar",Santa Fe
8,"#, Legislador a Designar",Santiago del Estero
9,"#, Legislador a Designar",Tucumán
10,"ABALOS, Roberto",Santiago del Estero
11,"ABASTO, Angel Leonidas",Buenos Aires
12,"ABDALA de MATARAZZO, Norma Amanda",Santiago del Estero
13,"ABDALA, Josefina",Mendoza
14,"ABELLA, Miguel Angel",Córdoba
15,"ABRAHAM, Alejandro",Mendoza
16,"ACCASTELLO, Eduardo",Córdoba
17,"ACCAVALLO, Julio César",Rio Negro
18,"ACEVEDO, Sergio Edgardo",Santa Cruz
19,"ACOSTA de AHUMADA, María Julia",Catamarca
20,"ACUÑA KUNZ, Juan",Santa Cruz
21,"ACUÑA, Hugo Rodolfo",Neuquén
22,"AGOSTO, Walter",Santa Fe
23,"AGUAD, Oscar Raúl",Córdoba
24,"AGUERO, Elda Susana",Buenos Aires
25,"AGUILAR, Lino Walter",San Luis
26,"AGUIRRE de SORIA, Hilda",La Rioja
27,"ALARCIA, Martha Carmen",Córdoba
28,"ALARCON, María del Carmen",Santa Fe
29,"ALBARRACIN, Jorge Luis",Mendoza
30,"ALBRIEU, Oscar Edmundo Nicolas",Rio Negro
31,"ALBRISI, César Alfredo",Córdoba
32,"ALCHOURON, Guillermo Eduardo",Buenos Aires
33,"ALCUAZ, Horacio Alberto",Buenos Aires
34,"ALEGRE, Gilberto",Buenos Aires
35,"ALESANDRI, Carlos Tomas",Córdoba
36,"ALESSANDRO, Dario Pedro",Cdad.Aut.Bs.As.
37,"ALFARO, Germán Enrique",Tucumán
38,"ALFONSIN, Ricardo Luis",Buenos Aires
39,"ALIZEGUI, Antonio Anibal",Entre Ríos
40,"ALLENDE IRIARTE, Alberto",Cdad.Aut.Bs.As.
41,"ALLENDE, Alfredo Estanislao",Buenos Aires
42,"ALONSO, Gumersindo Federico",Córdoba
43,"ALONSO, Laura",Cdad.Aut.Bs.As.
44,"ALONSO, María Luz",La Pampa
45,"ALVAREZ RODRIGUEZ, Cristina",Buenos Aires
46,"ALVAREZ, Elsa María",Santa Cruz
47,"ALVAREZ, Jorge Mario",Santa Fe
48,"ALVAREZ, Juan José",Buenos Aires
49,"ALVAREZ, Roque Tobías",Tucumán
50,"ALVARO, Héctor Jorge",Mendoza
51,"AMADEO, Eduardo Pablo",Buenos Aires
52,"AMENTA, Marcelo Eduardo",Buenos Aires
53,"AMSTUTZ, Guillermo",Mendoza
54,"ANAUATE, Carlos Alfredo",Santiago del Estero
55,"ANCARANI, Hilda Norma",Buenos Aires
56,"ARAGON, Santiago",Buenos Aires
57,"ARAGONES de JUAREZ, Mercedes María",Santiago del Estero
58,"ARBO, José Ameghino",Corrientes
59,"ARDID, Mario Rolando",Córdoba
60,"ARENA, Celia Isabel",Santa Fe
61,"ARENAS, Berta",San Luis
62,"ARETA, María Josefa",Corrientes
63,"ARGÜELLO, Jorge",Cdad.Aut.Bs.As.
64,"ARGÜELLO, Octavio",Buenos Aires
65,"ARGUL, Marta del Carmen",Jujuy
66,"ARGUMEDO, Alcira Susana",Cdad.Aut.Bs.As.
67,"ARNALDI, Monica Susana",Buenos Aires
68,"ARNOLD, Eduardo Ariel",Santa Cruz
69,"ARREGUI, Andrés Roberto",Buenos Aires
70,"ARRIAGA, Julio Esteban",Rio Negro
71,"ARTOLA, Isabel Amanda",Buenos Aires
72,"ASEF, Daniel Edgardo",Córdoba
73,"ASPIAZU, Lucio Bernardo",Corrientes
74,"ASSEFF, Alberto Emilio",Buenos Aires
75,"ATANASOF, Alfredo Néstor",Buenos Aires
76,"AUGSBURGER, Silvia",Santa Fe
77,"AVOSCAN, Herman Horacio",Rio Negro
78,"AYALA, Juan Carlos",Chaco
79,"AZCOITI, Pedro José",Buenos Aires
80,"BAGLINI, Raúl Eduardo",Mendoza
81,"BAIGORRI, Guillermo Francisco",San Juan
82,"BAIGORRIA, Miguel Angel",Tierra del Fuego
83,"BALADRON, Manuel Justo",La Pampa
84,"BALCEDO, María Ester",Buenos Aires
85,"BALDASSI, Héctor",Córdoba
86,"BALDATA, Griselda Angela",Córdoba
87,"BALESTRA, René Helvecio",Santa Fe
88,"BALESTRINI, Alberto",Buenos Aires
89,"BALIAN, Alejandro",Córdoba
90,"BALTER, Carlos Mario",Mendoza
91,"BALTUZZI, Angel Enzo",Santa Fe
92,"BARAGIOLA, Vilma Rosana",Buenos Aires
93,"BARBAGELATA, María Elena",Cdad.Aut.Bs.As.
94,"BARBIERI, Mario Leandro",Buenos Aires
95,"BARCHETTA, Omar Segundo",Santa Fe
96,"BARDEGGIA, Luis Maria",Rio Negro
97,"BARLETTA, Mario Domingo",Santa Fe
98,"BARRANDEGUY, Raúl Enrique",Entre Ríos
99,"BARRETO, Jorge Rubén",Entre Ríos
100,"BARRIONUEVO, José Luis",Catamarca
101,"BARRIOS, Miguel Angel",Santa Fe
102,"BARTOLUCCI, Gilda Liliana",San Luis
103,"BASILE, Daniel Armando",Buenos Aires
104,"BASTEIRO, Sergio Ariel",Buenos Aires
105,"BASTERRA, Luis Eugenio",Formosa
106,"BASUALDO, Roberto",San Juan
107,"BAYLAC, Juan Pablo",Buenos Aires
108,"BAYONZO, Liliana Amelia",Chaco
109,"BAZZE, Miguel Ángel",Buenos Aires
110,"BECCANI, Alberto Juan",Santa Fe
111,"BECERRA, Omar Enrique",Tierra del Fuego
112,"BEDANO, Nora Esther",Córdoba
113,"BEJARANO, Mario Fernando",Formosa
114,"BELOUS, Nélida",Tierra del Fuego
115,"BENAS, Verónica Claudia",Santa Fe
116,"BENEDETTI, Atilio Francisco Salvador",Entre Ríos
117,"BERGMAN, Sergio",Cdad.Aut.Bs.As.
118,"BERNAL, María Eugenia",Jujuy
119,"BERNAZZA, Claudia Alicia",Buenos Aires
120,"BERRAUTE, Ana",Santa Fe
121,"BERTOL, Paula María",Cdad.Aut.Bs.As.
122,"BERTOLYOTTI, Delma Noemí",Entre Ríos
123,"BERTONE, Rosana Andrea",Tierra del Fuego
124,"BETTANIN, Juan Carlos",Santa Fe
125,"BEVACQUA, Adriana Norma",Entre Ríos
126,"BEVERAGGI, Margarita Beatriz",Chaco
127,"BIANCHI SILVESTRE, Marcela",Buenos Aires
128,"BIANCHI, Ivana María",San Luis
129,"BIANCHI, María del Carmen",Cdad.Aut.Bs.As.
130,"BIANCO, Lía Fabiola",Misiones
131,"BIDEGAIN, Gloria Mercedes",Buenos Aires
132,"BIELLA CALVET, Bernardo José",Salta
133,"BIELSA, Rafael",Cdad.Aut.Bs.As.
134,"BIGLIERI, María Emilia",Santa Fe
135,"BINNER, Hermes",Santa Fe
136,"BISUTTI, Delia Beatriz",Cdad.Aut.Bs.As.
137,"BLANCO de PERALTA, Blanca",Santa Cruz
138,"BLANCO, Jesus Abel",Buenos Aires
139,"BONACINA, Mario Hector",Santiago del Estero
140,"BONACORSI, Juan Carlos",Buenos Aires
141,"BONASSO, Miguel",Cdad.Aut.Bs.As.
142,"BONINO, Miguel Angel",San Luis
143,"BORDENAVE, Marcela Antonia",Buenos Aires
144,"BORRELLI, Osvaldo Martín",Cdad.Aut.Bs.As.
145,"BORSANI, Luis Gustavo",Mendoza
146,"BORTOLOZZI de BOGADO, Adriana Raquel",Formosa
147,"BOSCH de SARTORI, Irene Miriam",Misiones
148,"BOSSA, Mauricio",Córdoba
149,"BOYADJIAN, Graciela Eunice",Tierra del Fuego
150,"BRANDONI, Adalberto Luis",Buenos Aires
151,"BRAVO, Alfredo Pedro",Cdad.Aut.Bs.As.
152,"BRAWER, Mara",Cdad.Aut.Bs.As.
153,"BREARD, Noel Eugenio",Corrientes
154,"BRILLO, José Ricardo",Neuquén
155,"BRIOZZO, Alberto Nicolas",Buenos Aires
156,"BRITOS, Oraldo Norvel",San Luis
157,"BRIZUELA DEL MORAL, Eduardo",Catamarca
158,"BRIZUELA Y DORIA DE CARA, Olga Inés",La Rioja
159,"BROMBERG, Isaac Benjamín",Tucumán
160,"BROWN, Carlos Ramón",Buenos Aires
161,"BRUE, Daniel Agustín",Santiago del Estero
162,"BUCCO, Jorge Luis",Córdoba
163,"BULACIO, Nancy Evangelina",Tucumán
164,"BULLRICH, Esteban",Cdad.Aut.Bs.As.
165,"BULLRICH, Patricia",Cdad.Aut.Bs.As.
166,"BURGOS, María Gabriela",Jujuy
167,"BURYAILE, Ricardo",Formosa
168,"BURZACO, Eugenio",Buenos Aires
169,"BUSSI, Ricardo Argentino",Tucumán
170,"BUSTI, Jorge Pedro",Entre Ríos
171,"CABALLERO MARTIN, Carlos Aurelio",Santa Fe
172,"CABANDIE, Juan",Cdad.Aut.Bs.As.
173,"CACERES, Eduardo",San Juan
174,"CACERES, Gladys Antonia",La Rioja
175,"CAFIERO, Mario Alejandro",Buenos Aires
176,"CALCAGNO, Eric",Buenos Aires
177,"CALCHAQUI, Mariel",Tierra del Fuego
178,"CALVO, Pedro Jorge Camilo",Cdad.Aut.Bs.As.
179,"CALZA, Nelio Higinio",Entre Ríos
180,"CAMAÑO, Dante",Buenos Aires
181,"CAMAÑO, Eduardo Oscar",Buenos Aires
182,"CAMAÑO, Graciela",Buenos Aires
183,"CAMBARERI, Fortunato Rafael",Chubut
184,"CANELA, Susana Mercedes",Salta
185,"CANEVAROLO, Dante Omar",Santa Cruz
186,"CANO, José",Tucumán
187,"CANTERO GUTIERREZ, Alberto",Córdoba
188,"CANTERO, Fernando Alfredo",Cdad.Aut.Bs.As.
189,"CANTEROS, Gustavo Jesús Adolfo",Corrientes
190,"CANTINI, Guillermo Marcelo",Cdad.Aut.Bs.As.
191,"CANTOS, José María",Santiago del Estero
192,"CAPELLO, Mario Osvaldo",San Juan
193,"CAPPELLERI, Pascual",Buenos Aires
194,"CARBONETTO, Daniel",Buenos Aires
195,"CARCA, Elisa Beatriz",Buenos Aires
