asuntoId,diputadoId,bloqueId,voto,federal
1812,55,23,0,0101
1812,48,2,1,0102
1812,20,31,1,0103
1812,53,23,0,0201
1812,88,23,0,0202
1812,91,17,1,0203
1812,15,23,0,0301
1812,116,12,1,0302
1812,28,12,1,0303
1812,81,9,1,0401
1812,120,9,1,0402
1812,17,39,1,0403
1812,148,13,0,0501
1812,109,24,1,0502
1812,6,39,1,0503
1812,14,23,0,0601
1812,38,23,0,0602
1812,123,39,1,0603
1812,73,23,0,0701
1812,44,38,1,0702
1812,31,39,1,0703
1812,72,23,0,0801
1812,152,23,0,0802
1812,168,39,1,0803
1812,43,23,0,0901
1812,107,23,0,0902
1812,135,39,1,0903
1812,10,23,0,1001
1812,50,23,0,1002
1812,119,39,1,1003
1812,74,20,0,1101
1812,170,20,1,1102
1812,99,39,1,1103
1812,3,23,0,1201
1812,96,23,0,1202
1812,110,8,1,1203
1812,12,23,0,1301
1812,118,39,1,1302
1812,158,39,1,1303
1812,21,23,0,1401
1812,63,23,0,1402
1812,76,23,0,1403
1812,58,23,0,1501
1812,129,23,0,1502
1812,94,25,0,1503
1812,16,23,0,1601
1812,136,23,0,1602
1812,169,39,1,1603
1812,47,19,1,1701
1812,149,19,1,1702
1812,133,35,1,1703
1812,68,23,0,1801
1812,144,23,0,1802
1812,11,30,1,1803
1812,134,23,0,1901
1812,122,22,1,1902
1812,146,22,1,1903
1812,71,23,0,2001
1812,84,23,0,2002
1812,103,39,1,2003
1812,85,7,0,2101
1812,143,36,1,2102
1812,67,37,1,2103
1812,78,11,0,2201
1812,37,23,0,2202
1812,142,39,1,2203
1812,97,23,0,2301
1812,147,23,0,2302
1812,24,39,1,2303
1812,33,23,0,2401
1812,45,27,0,2402
1812,93,27,0,2403
1834,55,23,0,0101
1834,20,31,0,0102
1834,48,2,3,0103
1834,53,23,0,0201
1834,88,23,0,0202
1834,91,17,1,0203
1834,15,23,0,0301
1834,116,12,1,0302
1834,28,12,3,0303
1834,81,9,1,0401
1834,17,39,1,0402
1834,120,9,3,0403
1834,148,13,0,0501
1834,6,39,1,0502
1834,109,24,3,0503
1834,14,23,0,0601
1834,38,23,0,0602
1834,123,39,1,0603
1834,73,23,0,0701
1834,44,38,1,0702
1834,31,39,1,0703
1834,72,23,0,0801
1834,152,23,0,0802
1834,168,39,3,0803
1834,43,23,0,0901
1834,107,23,0,0902
1834,135,39,1,0903
1834,10,23,0,1001
1834,50,23,0,1002
1834,119,39,1,1003
1834,74,20,0,1101
1834,170,20,1,1102
1834,99,39,1,1103
1834,3,23,0,1201
1834,96,23,0,1202
1834,110,8,3,1203
1834,12,23,0,1301
1834,118,39,1,1302
1834,158,39,1,1303
1834,21,23,0,1401
1834,63,23,0,1402
1834,76,23,0,1403
1834,58,23,0,1501
1834,129,23,0,1502
1834,94,25,0,1503
1834,16,23,0,1601
1834,136,23,0,1602
1834,169,39,3,1603
1834,47,19,0,1701
1834,149,19,0,1702
1834,133,35,1,1703
1834,68,23,0,1801
1834,144,23,0,1802
1834,11,30,1,1803
1834,134,23,0,1901
1834,122,22,1,1902
1834,146,22,1,1903
1834,71,23,0,2001
1834,84,23,0,2002
1834,103,39,1,2003
1834,85,7,0,2101
1834,143,36,1,2102
1834,67,37,1,2103
1834,78,11,0,2201
1834,37,23,0,2202
1834,142,39,1,2203
1834,97,23,0,2301
1834,147,23,0,2302
1834,24,39,1,2303
1834,33,23,0,2401
1834,45,27,0,2402
1834,93,27,0,2403
1837,55,23,0,0101
1837,20,31,1,0102
1837,48,2,3,0103
1837,53,23,0,0201
1837,88,23,0,0202
1837,91,17,1,0203
1837,116,12,1,0301
1837,28,12,1,0302
1837,15,23,3,0303
1837,81,9,1,0401
1837,120,9,1,0402
1837,17,39,1,0403
1837,148,13,0,0501
