nombre	distrito	bloque	vota
ABDALA de MATARAZZO, Norma Amanda	Santiago del Estero	Frente Cívico por Santiago	AFIRMATIVO
ACOSTA de AHUMADA, María Julia	Catamarca	Frente para la Victoria - PJ	AFIRMATIVO
AGOSTO, Walter	Santa Fe	Peronismo Federal	AFIRMATIVO
ALBRIEU, Oscar Edmundo Nicolas	Rio Negro	Frente para la Victoria - PJ	AFIRMATIVO
ALCUAZ, Horacio Alberto	Buenos Aires	GEN	AFIRMATIVO
ALFARO, Germán Enrique	Tucumán	Frente para la Victoria - PJ	AFIRMATIVO
ALIZEGUI, Antonio Anibal	Entre Ríos	Frente para la Victoria - PJ	AFIRMATIVO
ALONSO, Gumersindo Federico	Córdoba	Frente Cívico - Córdoba	AFIRMATIVO
ALVAREZ, Elsa María	Santa Cruz	Unión Cívica Radical	AFIRMATIVO
ALVAREZ, Jorge Mario	Santa Fe	Unión Cívica Radical	AFIRMATIVO
ALVARO, Héctor Jorge	Mendoza	De la Concertación	AFIRMATIVO
AMADEO, Eduardo Pablo	Buenos Aires	Peronismo Federal	AFIRMATIVO
ARENA, Celia Isabel	Santa Fe	Peronismo Federal	AFIRMATIVO
ARETA, María Josefa	Corrientes	Frente de Todos	AFIRMATIVO
ARGUMEDO, Alcira Susana	Cdad.Aut.Bs.As.	Movimiento Proyecto Sur	AFIRMATIVO
ASEF, Daniel Edgardo	Córdoba	Peronista Córdoba Ciudadana	AFIRMATIVO
ASPIAZU, Lucio Bernardo	Corrientes	Unión Cívica Radical	AFIRMATIVO
ATANASOF, Alfredo Néstor	Buenos Aires	Peronismo Federal	AFIRMATIVO
BALDATA, Griselda Angela	Córdoba	Coalición Cívica	AFIRMATIVO
BARBIERI, Mario Leandro	Buenos Aires	Unión Cívica Radical	AFIRMATIVO
BARRANDEGUY, Raúl Enrique	Entre Ríos	Frente para la Victoria - PJ	AFIRMATIVO
BARRIOS, Miguel Angel	Santa Fe	Partido Socialista	AFIRMATIVO
BASTEIRO, Sergio Ariel	Buenos Aires	Nuevo Encuentro Popular y Solidario	AFIRMATIVO
BELOUS, Nélida	Tierra del Fuego	Proyecto Progresista	AFIRMATIVO
BENAS, Verónica Claudia	Santa Fe	SI por la Unidad Popular	AFIRMATIVO
BENEDETTI, Atilio Francisco Salvador	Entre Ríos	Unión Cívica Radical	AFIRMATIVO
BERNAL, María Eugenia	Jujuy	Frente para la Victoria - PJ	AFIRMATIVO
BERTONE, Rosana Andrea	Tierra del Fuego	Frente para la Victoria - PJ	AFIRMATIVO
BIANCHI, Ivana María	San Luis	Peronismo Federal	AFIRMATIVO
BIDEGAIN, Gloria Mercedes	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
BULLRICH, Patricia	Cdad.Aut.Bs.As.	Coalición Cívica	AFIRMATIVO
CARCA, Elisa Beatriz	Buenos Aires	Coalición Cívica	AFIRMATIVO
CARDELLI, Jorge Justo	Cdad.Aut.Bs.As.	Movimiento Proyecto Sur	AFIRMATIVO
CARLOTTO, Remo Gerardo	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
CARRANZA, Carlos Alberto	Santa Fe	Peronismo Federal	AFIRMATIVO
CASELLES, Graciela María	San Juan	Frente para la Victoria - Partido Bloqui	AFIRMATIVO
CASTALDO, Norah Susana	Tucumán	Unión Cívica Radical	AFIRMATIVO
CEJAS, Jorge Alberto	Rio Negro	Frente para la Victoria - PJ	AFIRMATIVO
CHEMES, Jorge Omar	Entre Ríos	Unión Cívica Radical	AFIRMATIVO
CICILIANI, Alicia Mabel	Santa Fe	Partido Socialista	AFIRMATIVO
CIGOGNA, Luis Francisco Jorge	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
COMI, Carlos Marcelo	Santa Fe	Coalición Cívica	AFIRMATIVO
CONTI, Diana Beatriz	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
CORTINA, Roy	Cdad.Aut.Bs.As.	Partido Socialista	AFIRMATIVO
COSTA, Eduardo Raúl	Santa Cruz	Unión Cívica Radical	AFIRMATIVO
CURRILEN, Oscar Rubén	Chubut	Peronista	AFIRMATIVO
CUSINATO, José César Gustavo	Entre Ríos	Unión Cívica Radical	AFIRMATIVO
DAMILANO GRIVARELLO, Viviana Mónica	Chaco	Frente para la Victoria - PJ	AFIRMATIVO
DATO, Alfredo Carlos	Tucumán	Frente para la Victoria - PJ	AFIRMATIVO
DE LA ROSA, Maria Graciela	Formosa	Frente para la Victoria - PJ	AFIRMATIVO
de PRAT GAY, Alfonso	Cdad.Aut.Bs.As.	Coalición Cívica	AFIRMATIVO
DEL CAMPILLO, Héctor Eduardo	Córdoba	Unión Cívica Radical	AFIRMATIVO
di TULLIO, Juliana	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
DIAZ BANCALARI, José María	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
DONDA PEREZ, Victoria Analía	Buenos Aires	Libres del Sur	AFIRMATIVO
ERRO, Norberto Pedro	Buenos Aires	Unión Cívica Radical	AFIRMATIVO
FADEL, Patricia Susana	Mendoza	Frente para la Victoria - PJ	AFIRMATIVO
FADUL, Liliana	Tierra del Fuego	Partido Federal Fueguino	AFIRMATIVO
FAUSTINELLI, Hipólito	Córdoba	Unión Cívica Radical	AFIRMATIVO
FAVARIO, Carlos Alberto	Santa Fe	Demócrata Progresista	AFIRMATIVO
FEIN, Mónica Hayde	Santa Fe	Partido Socialista	AFIRMATIVO
FERNANDEZ BASUALDO, Luis María	Formosa	Frente para la Victoria - PJ	AFIRMATIVO
FERNANDEZ, Rodolfo Alfredo	Corrientes	Unión Cívica Radical	AFIRMATIVO
FERRA DE BARTOL, Margarita	San Juan	Frente para la Victoria - PJ	AFIRMATIVO
FERRARI, Gustavo Alfredo	Buenos Aires	Peronismo Federal	AFIRMATIVO
FIAD, Mario Raymundo	Jujuy	Unión Cívica Radical	AFIRMATIVO
FIOL, Paulina Esther	Santa Fe	Frente para la Victoria - PJ	AFIRMATIVO
FORCONI, Juan Carlos	Santa Fe	Peronismo Federal	AFIRMATIVO
FORTE, Ulises Umberto	La Pampa	Unión Cívica Radical	AFIRMATIVO
FORTUNA, Francisco José	Córdoba	Córdoba Federal	AFIRMATIVO
GALLARDO, Miriam Graciela del Valle	Tucumán	Frente para la Victoria - PJ	AFIRMATIVO
GAMBARO, Natalia	Buenos Aires	Peronismo Federal	AFIRMATIVO
GARCIA, María Teresa	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
GARCIA, Susana Rosa	Santa Fe	Coalición Cívica	AFIRMATIVO
GARDELLA, Patricia Susana	Buenos Aires	Corriente de Pensamiento Federal	AFIRMATIVO
GARNERO, Estela Ramona	Córdoba	Córdoba Federal	AFIRMATIVO
GERMANO, Daniel	Santa Fe	Peronismo Federal	AFIRMATIVO
GIANNETTASIO, Graciela María	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
GIL LAVEDRA, Ricardo Rodolfo	Cdad.Aut.Bs.As.	Unión Cívica Radical	AFIRMATIVO
GIL LOZANO, Claudia Fernanda	Cdad.Aut.Bs.As.	Coalición Cívica	AFIRMATIVO
GODOY, Ruperto Eduardo	San Juan	Frente para la Victoria - PJ	AFIRMATIVO
GONZALEZ, Nancy Susana	Chubut	Frente para la Victoria - PJ	AFIRMATIVO
GULLO, Juan Carlos Dante	Cdad.Aut.Bs.As.	Frente para la Victoria - PJ	AFIRMATIVO
IBARRA, Mauricio	San Juan	Peronismo Federal	AFIRMATIVO
IBARRA, Vilma Lidia	Cdad.Aut.Bs.As.	Nuevo Encuentro Popular y Solidario	AFIRMATIVO
IGLESIAS, Fernando Adolfo	Cdad.Aut.Bs.As.	Coalición Cívica	AFIRMATIVO
ITURRASPE, Nora Graciela	Buenos Aires	SI por la Unidad Popular	AFIRMATIVO
JURI, Mariana	Mendoza	Unión Cívica Radical	AFIRMATIVO
KENNY, Eduardo Enrique Federico	La Pampa	Unión Cívica Radical	AFIRMATIVO
KORENFELD, Beatriz Liliana	Santa Cruz	Frente para la Victoria - PJ	AFIRMATIVO
KUNKEL, Carlos Miguel	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
LANCETA, Rubén Orfel	Buenos Aires	Unión Cívica Radical	AFIRMATIVO
LEGUIZAMON, María Laura	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
LEVERBERG, Stella Maris	Misiones	Frente para la Victoria - PJ	AFIRMATIVO
LINARES, María Virginia	Buenos Aires	GEN	AFIRMATIVO
LLANOS, Ermindo Edgardo Marcelo	Jujuy	Frente para la Victoria - PJ	AFIRMATIVO
LOPEZ ARIAS, Marcelo Eduardo	Salta	Peronista	AFIRMATIVO
LORGES, Juan Carlos	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
MACALUSE, Eduardo Gabriel	Buenos Aires	SI por la Unidad Popular	AFIRMATIVO
MANSUR, Ricardo Alfredo	Mendoza	Unión Cívica Radical	AFIRMATIVO
MARCONATO, Gustavo Angel	Santa Fe	Frente para la Victoria - PJ	AFIRMATIVO
MARTIARENA, Mario Humberto	Jujuy	Peronismo Jujeño	AFIRMATIVO
MARTINEZ CARIGNANO, Ernesto Félix	Córdoba	Frente Cívico - Córdoba	AFIRMATIVO
MARTINEZ ODDONE, Heriberto Agustín	Córdoba	Unión Cívica Radical	AFIRMATIVO
MAZZARELLA, Susana del Valle	Córdoba	Frente Cívico - Córdoba	AFIRMATIVO
MENDOZA, Sandra Marcela	Chaco	Frente para la Victoria - PJ	AFIRMATIVO
MERA, Dalmacio	Catamarca	Frente para la Victoria - PJ	AFIRMATIVO
MERCHAN, Paula Cecilia	Córdoba	Libres del Sur	AFIRMATIVO
MERLO, Mario Raúl	San Luis	Peronismo Federal	AFIRMATIVO
MILMAN, Gerardo Fabián	Buenos Aires	GEN	AFIRMATIVO
MONTOYA, Jorge Luciano	Córdoba	Peronista	AFIRMATIVO
MORANTE, Antonio Arnaldo María	Chaco	Frente para la Victoria - PJ	AFIRMATIVO
MOREJON, Manuel Amor	Chubut	Peronista	AFIRMATIVO
MORENO, Carlos Julio	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
