diputadoId,nombre,distrito
1,"ABRAMETO, Jacobo Alberto",Río Negro
2,"AGUIRRE, Hilda Clelia",La Rioja
3,"AGUNDEZ, Jorge Alfredo",San Luis
4,"ARANCIO DE BELLER, Mónica",Jujuy
5,"ARTAZA, Eugenio Justiniano",Corrientes
6,"AVELÍN, Nancy Barbarita",San Juan
7,"BANICEVICH, Jorge Esteban",Santa Cruz
8,"BAR, Graciela Yolanda",Entre Ríos
9,"BARRIONUEVO, Walter Basilio",Jujuy
10,"BASUALDO, Roberto Gustavo",San Juan
11,"BERMEJO, Rolando Adolfo",Mendoza
12,"BIANCALANI, Fabio Darío",Chaco
13,"BLAS, Inés Imelda",Catamarca
14,"BONGIORNO, María José",Río Negro
15,"BORELLO, Marta Teresita",Córdoba
16,"BORTOLOZZI, Adriana Raquel",Formosa
17,"BUSSI, Ricardo Argentino",Tucumán
18,"CABANCHIK, Samuel Manuel",Ciudad Autónoma de Buenos Aires
19,"CABRAL, Salvador",Misiones
20,"CAFIERO, Antonio Francisco",Buenos Aires
21,"CALCAGNO Y MAILLMAN, Eric",Buenos Aires
22,"CANO, José Manuel",Tucumán
23,"CAPARROS, Mabel Luisa",Tierra del Fuego
24,"CAPITANICH, Jorge Milton",Chaco
25,"CAPOS, Liliana Delia",Tierra del Fuego
26,"CASTILLO, Oscar Aníbal",Catamarca
27,"CASTRO, María Elisa",Santiago del Estero
28,"CIMADEVILLA, Mario Jorge",Chubut
29,"CLOSS, Maurice Fabián",Misiones
30,"COLAZO, Mario Jorge",Tierra del Fuego
31,"COLOMBO DE ACEVEDO, María Teresa",Catamarca
32,"CONTI, Diana Beatriz",Buenos Aires
33,"CORPACCI de MERCADO, Lucia B .",Catamarca
34,"CORRADI DE BELTRÀN, Ana María",Santiago del Estero
35,"CORREGIDO, Elena Mercedes",Chaco
36,"CURLETTI, Miriam Belén",Chaco
37,"DANIELE, Mario Domingo",Chaco
38,"DE LA ROSA, María Graciela",Formosa
39,"DI PERNA, Graciela Agustina",Chubut
40,"DIAZ, María Rosa",Tierra del Fuego
